season,Date,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,ht_leader,ft_result,outcome_vs_ht_leader
1516,08/08/2015,Bournemouth,Aston Villa,0,0,0,1,Level,Away,
1516,08/08/2015,Chelsea,Swansea,2,1,2,2,Home,Level,ended_in_draw
1516,08/08/2015,Everton,Watford,0,1,2,2,Away,Level,ended_in_draw
1516,08/08/2015,Leicester,Sunderland,3,0,4,2,Home,Home,leader_won
1516,08/08/2015,Man United,Tottenham,1,0,1,0,Home,Home,leader_won
1516,08/08/2015,Norwich,Crystal Palace,0,1,1,3,Away,Away,leader_won
1516,09/08/2015,Arsenal,West Ham,0,1,0,2,Away,Away,leader_won
1516,09/08/2015,Newcastle,Southampton,1,1,2,2,Level,Level,
1516,09/08/2015,Stoke,Liverpool,0,0,0,1,Level,Away,
1516,10/08/2015,West Brom,Man City,0,2,0,3,Away,Away,leader_won
1516,14/08/2015,Aston Villa,Man United,0,1,0,1,Away,Away,leader_won
1516,15/08/2015,Southampton,Everton,0,2,0,3,Away,Away,leader_won
1516,15/08/2015,Sunderland,Norwich,0,2,1,3,Away,Away,leader_won
1516,15/08/2015,Swansea,Newcastle,1,0,2,0,Home,Home,leader_won
1516,15/08/2015,Tottenham,Stoke,2,0,2,2,Home,Level,ended_in_draw
1516,15/08/2015,Watford,West Brom,0,0,0,0,Level,Level,
1516,15/08/2015,West Ham,Leicester,0,2,1,2,Away,Away,leader_won
1516,16/08/2015,Crystal Palace,Arsenal,1,1,1,2,Level,Away,
1516,16/08/2015,Man City,Chelsea,1,0,3,0,Home,Home,leader_won
1516,17/08/2015,Liverpool,Bournemouth,1,0,1,0,Home,Home,leader_won
1516,22/08/2015,Crystal Palace,Aston Villa,0,0,2,1,Level,Home,
1516,22/08/2015,Leicester,Tottenham,0,0,1,1,Level,Level,
1516,22/08/2015,Man United,Newcastle,0,0,0,0,Level,Level,
1516,22/08/2015,Norwich,Stoke,1,1,1,1,Level,Level,
1516,22/08/2015,Sunderland,Swansea,0,1,1,1,Away,Level,ended_in_draw
1516,22/08/2015,West Ham,Bournemouth,0,2,3,4,Away,Away,leader_won
1516,23/08/2015,Everton,Man City,0,0,0,2,Level,Away,
1516,23/08/2015,Watford,Southampton,0,0,0,0,Level,Level,
1516,23/08/2015,West Brom,Chelsea,1,3,2,3,Away,Away,leader_won
1516,24/08/2015,Arsenal,Liverpool,0,0,0,0,Level,Level,
1516,29/08/2015,Aston Villa,Sunderland,2,1,2,2,Home,Level,ended_in_draw
1516,29/08/2015,Bournemouth,Leicester,1,0,1,1,Home,Level,ended_in_draw
1516,29/08/2015,Chelsea,Crystal Palace,0,0,1,2,Level,Away,
1516,29/08/2015,Liverpool,West Ham,0,2,0,3,Away,Away,leader_won
