SEASON,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,IS_HOME,WL,PTS,PLUS_MINUS
2015-16,ATL,0021500001,2015-10-27,ATL vs. DET,True,L,94,-12
2015-16,CLE,0021500002,2015-10-27,CLE @ CHI,False,L,95,-2
2015-16,NOP,0021500003,2015-10-27,NOP @ GSW,False,L,95,-16
2015-16,CHI,0021500002,2015-10-27,CHI vs. CLE,True,W,97,2
2015-16,GSW,0021500003,2015-10-27,GSW vs. NOP,True,W,111,16
2015-16,DET,0021500001,2015-10-27,DET @ ATL,False,W,106,12
2015-16,LAC,0021500016,2015-10-28,LAC @ SAC,False,W,111,7
2015-16,LAL,0021500017,2015-10-28,LAL vs. MIN,True,L,111,-1
2015-16,MIA,0021500008,2015-10-28,MIA vs. CHA,True,W,104,10
2015-16,MIL,0021500012,2015-10-28,MIL vs. NYK,True,L,97,-25
2015-16,MIN,0021500017,2015-10-28,MIN @ LAL,False,W,112,1
2015-16,BKN,0021500006,2015-10-28,BKN vs. CHI,True,L,100,-15
2015-16,NYK,0021500012,2015-10-28,NYK @ MIL,False,W,122,25
2015-16,ORL,0021500004,2015-10-28,ORL vs. WAS,True,L,87,-1
2015-16,IND,0021500009,2015-10-28,IND @ TOR,False,L,99,-7
2015-16,PHI,0021500005,2015-10-28,PHI @ BOS,False,L,95,-17
2015-16,BOS,0021500005,2015-10-28,BOS vs. PHI,True,W,112,17
2015-16,CLE,0021500011,2015-10-28,CLE @ MEM,False,W,106,30
2015-16,NOP,0021500015,2015-10-28,NOP @ POR,False,L,94,-18
2015-16,CHI,0021500006,2015-10-28,CHI @ BKN,False,W,115,15
2015-16,DAL,0021500014,2015-10-28,DAL @ PHX,False,W,111,16
2015-16,DEN,0021500010,2015-10-28,DEN @ HOU,False,W,105,20
2015-16,HOU,0021500010,2015-10-28,HOU vs. DEN,True,L,85,-20
2015-16,PHX,0021500014,2015-10-28,PHX vs. DAL,True,L,95,-16
2015-16,POR,0021500015,2015-10-28,POR vs. NOP,True,W,112,18
2015-16,SAC,0021500016,2015-10-28,SAC vs. LAC,True,L,104,-7
2015-16,SAS,0021500013,2015-10-28,SAS @ OKC,False,L,106,-6
2015-16,OKC,0021500013,2015-10-28,OKC vs. SAS,True,W,112,6
2015-16,TOR,0021500009,2015-10-28,TOR vs. IND,True,W,106,7
2015-16,UTA,0021500007,2015-10-28,UTA @ DET,False,L,87,-5
2015-16,MEM,0021500011,2015-10-28,MEM vs. CLE,True,L,76,-30
2015-16,WAS,0021500004,2015-10-28,WAS @ ORL,False,W,88,1
2015-16,DET,0021500007,2015-10-28,DET vs. UTA,True,W,92,5
2015-16,CHA,0021500008,2015-10-28,CHA @ MIA,False,L,94,-10
2015-16,LAC,0021500020,2015-10-29,LAC vs. DAL,True,W,104,16
2015-16,NYK,0021500019,2015-10-29,NYK vs. ATL,True,L,101,-11
2015-16,IND,0021500018,2015-10-29,IND vs. MEM,True,L,103,-9
2015-16,ATL,0021500019,2015-10-29,ATL @ NYK,False,W,112,11
2015-16,DAL,0021500020,2015-10-29,DAL @ LAC,False,L,88,-16
2015-16,MEM,0021500018,2015-10-29,MEM @ IND,False,W,112,9
2015-16,LAL,0021500031,2015-10-30,LAL @ SAC,False,L,114,-18
2015-16,MIA,0021500021,2015-10-30,MIA @ CLE,False,L,92,-10
2015-16,MIL,0021500027,2015-10-30,MIL vs. WAS,True,L,113,-5
2015-16,MIN,0021500029,2015-10-30,MIN @ DEN,False,W,95,17
2015-16,BKN,0021500028,2015-10-30,BKN @ SAS,False,L,75,-27
2015-16,ORL,0021500022,2015-10-30,ORL vs. OKC,True,L,136,-3
2015-16,PHI,0021500023,2015-10-30,PHI vs. UTA,True,L,71,-28
2015-16,ATL,0021500026,2015-10-30,ATL vs. CHA,True,W,97,3
2015-16,BOS,0021500024,2015-10-30,BOS vs. TOR,True,L,103,-10
2015-16,CLE,0021500021,2015-10-30,CLE vs. MIA,True,W,102,10
2015-16,CHI,0021500025,2015-10-30,CHI @ DET,False,L,94,-4
2015-16,DEN,0021500029,2015-10-30,DEN vs. MIN,True,L,78,-17
2015-16,GSW,0021500030,2015-10-30,GSW @ HOU,False,W,112,20
2015-16,HOU,0021500030,2015-10-30,HOU vs. GSW,True,L,92,-20
2015-16,PHX,0021500032,2015-10-30,PHX vs. POR,True,W,110,18
2015-16,POR,0021500032,2015-10-30,POR @ PHX,False,L,92,-18
2015-16,SAC,0021500031,2015-10-30,SAC vs. LAL,True,W,132,18
2015-16,SAS,0021500028,2015-10-30,SAS vs. BKN,True,W,102,27
2015-16,OKC,0021500022,2015-10-30,OKC @ ORL,False,W,139,3
2015-16,TOR,0021500024,2015-10-30,TOR @ BOS,False,W,113,10
2015-16,UTA,0021500023,2015-10-30,UTA @ PHI,False,W,99,28
2015-16,WAS,0021500027,2015-10-30,WAS @ MIL,False,W,118,5
2015-16,DET,0021500025,2015-10-30,DET vs. CHI,True,W,98,4
2015-16,CHA,0021500026,2015-10-30,CHA @ ATL,False,L,94,-3
2015-16,LAC,0021500038,2015-10-31,LAC vs. SAC,True,W,114,5
2015-16,BKN,0021500036,2015-10-31,BKN @ MEM,False,L,91,-10
2015-16,NYK,0021500034,2015-10-31,NYK @ WAS,False,W,117,7
2015-16,IND,0021500033,2015-10-31,IND vs. UTA,True,L,76,-21
2015-16,NOP,0021500035,2015-10-31,NOP vs. GSW,True,L,120,-14
2015-16,GSW,0021500035,2015-10-31,GSW @ NOP,False,W,134,14
2015-16,PHX,0021500037,2015-10-31,PHX @ POR,False,W,101,11
2015-16,POR,0021500037,2015-10-31,POR vs. PHX,True,L,90,-11
2015-16,SAC,0021500038,2015-10-31,SAC @ LAC,False,L,109,-5
2015-16,UTA,0021500033,2015-10-31,UTA @ IND,False,W,97,21
2015-16,MEM,0021500036,2015-10-31,MEM vs. BKN,True,W,101,10
2015-16,WAS,0021500034,2015-10-31,WAS vs. NYK,True,L,110,-7
2015-16,LAL,0021500045,2015-11-01,LAL vs. DAL,True,L,93,-10
2015-16,MIA,0021500041,2015-11-01,MIA vs. HOU,True,W,109,20
2015-16,MIL,0021500042,2015-11-01,MIL @ TOR,False,L,87,-19
2015-16,ORL,0021500043,2015-11-01,ORL @ CHI,False,L,87,-5
2015-16,ATL,0021500039,2015-11-01,ATL @ CHA,False,W,94,2
2015-16,BOS,0021500040,2015-11-01,BOS vs. SAS,True,L,87,-8
2015-16,CHI,0021500043,2015-11-01,CHI vs. ORL,True,W,92,5
2015-16,DAL,0021500045,2015-11-01,DAL @ LAL,False,W,103,10
